Volatility 3 Framework 2.28.1

PID	Process	Base	Name	Major	Minor	Product	Build
N/A	N/A	0xf8043e2b0000	HIDPARSE.SYS	-	-	-	-
N/A	N/A	0xf8043e2d0000	mouhid.sys	-	-	-	-
N/A	N/A	0xf8043e2f0000	fastfat.SYS	-	-	-	-
N/A	N/A	0xf8043e360000	udfs.sys	-	-	-	-
N/A	N/A	0xf8043e3d0000	win32kbase.sys	-	-	-	-
N/A	N/A	0xf8043e710000	cdfs.sys	-	-	-	-
N/A	N/A	0xf8043e760000	dump_storport.sys	-	-	-	-
N/A	N/A	0xf8043e7c0000	dump_storahci.sys	-	-	-	-
N/A	N/A	0xf8043e830000	dump_dumpfve.sys	-	-	-	-
N/A	N/A	0xf8043f2e0000	win32kfull.sys	-	-	-	-
N/A	N/A	0xf8043f700000	win32kbase_rs.sys	-	-	-	-
N/A	N/A	0xf8043f730000	monitor.sys	-	-	-	-
N/A	N/A	0xf8043ea00000	dxgmms2.sys	-	-	-	-
N/A	N/A	0xf8043eb30000	cdd.dll	-	-	-	-
N/A	N/A	0xf8043eb90000	appid.sys	-	-	-	-
N/A	N/A	0xf8043ebd0000	applockerfltr.sys	-	-	-	-
N/A	N/A	0xf8043ebf0000	bfs.sys	-	-	-	-
N/A	N/A	0xf8043ec20000	luafv.sys	-	-	-	-
N/A	N/A	0xf8043ec60000	wcifs.sys	-	-	-	-
N/A	N/A	0xf8043eca0000	cldflt.sys	-	-	-	-
N/A	N/A	0xf8043ed40000	UnionFS.sys	-	-	-	-
N/A	N/A	0xf8043edc0000	storqosflt.sys	-	-	-	-
N/A	N/A	0xf8043ede0000	UCPD.sys	-	-	-	-
N/A	N/A	0xf8043ee10000	bindflt.sys	-	-	-	-
N/A	N/A	0xf8043ee40000	lltdio.sys	-	-	-	-
N/A	N/A	0xf8043ee60000	mslldp.sys	-	-	-	-
N/A	N/A	0xf8043ee80000	rspndr.sys	-	-	-	-
N/A	N/A	0xf8043eeb0000	HTTP.sys	-	-	-	-
N/A	N/A	0xf8043f0c0000	bowser.sys	-	-	-	-
N/A	N/A	0xf8043f0f0000	mpsdrv.sys	-	-	-	-
N/A	N/A	0xf8043f110000	mrxsmb.sys	-	-	-	-
N/A	N/A	0xf8043f200000	mrxsmb20.sys	-	-	-	-
N/A	N/A	0xf8043f260000	srvnet.sys	-	-	-	-
N/A	N/A	0xf8043f760000	mmcss.sys	-	-	-	-
N/A	N/A	0xf8043f780000	Ndu.sys	-	-	-	-
N/A	N/A	0xf8043dcf0000	srv2.sys	-	-	-	-
N/A	N/A	0xf8043fd20000	peauth.sys	-	-	-	-
N/A	N/A	0xf8043f800000	tcpipreg.sys	-	-	-	-
N/A	N/A	0xf8043f820000	wtd.sys	-	-	-	-
N/A	N/A	0xf8043f840000	condrv.sys	-	-	-	-
N/A	N/A	0xf8043f860000	KslD.sys	-	-	-	-
N/A	N/A	0xf8043f880000	WdNisDrv.sys	-	-	-	-
468	smss.exe	0x7ff695c20000	smss.exe	10	0	26100	7705
468	smss.exe	0x7ffff9a60000	ntdll.dll	-	-	-	-
680	csrss.exe	0x7ff7f9700000	csrss.exe	10	0	26100	1
680	csrss.exe	0x7ffff9a60000	ntdll.dll	-	-	-	-
680	csrss.exe	0x7ffff6320000	CSRSRV.dll	-	-	-	-
680	csrss.exe	0x7ffff6300000	basesrv.DLL	-	-	-	-
680	csrss.exe	0x7ffff62e0000	winsrv.DLL	10	0	26100	7019
680	csrss.exe	0x7ffff65f0000	kernelbase.dll	-	-	-	-
680	csrss.exe	0x7ffff9560000	kernel32.dll	-	-	-	-
680	csrss.exe	0x7ffff62b0000	winsrvext.dll	10	0	26100	7920
680	csrss.exe	0x7ffff69f0000	win32u.dll	10	0	26100	8036
680	csrss.exe	0x7ffff90f0000	GDI32.dll	10	0	26100	8036
680	csrss.exe	0x7ffff6c30000	gdi32full.dll	10	0	26100	8036
680	csrss.exe	0x7ffff75d0000	msvcp_win.dll	10	0	26100	7623
680	csrss.exe	0x7ffff6ae0000	ucrtbase.dll	10	0	26100	7623
680	csrss.exe	0x7ffff7c20000	USER32.dll	10	0	26100	7920
680	csrss.exe	0x7ffff6290000	sxssrv.DLL	10	0	26100	1882
680	csrss.exe	0x7ffff6040000	sxs.dll	10	0	26100	7920
680	csrss.exe	0x7ffff9820000	ADVAPI32.dll	10	0	26100	7920
680	csrss.exe	0x7ffff9770000	msvcrt.dll	10	0	26100	7623
680	csrss.exe	0x7ffff94b0000	sechost.dll	10	0	26100	7920
680	csrss.exe	0x7ffff8050000	RPCRT4.dll	10	0	26100	8036
680	csrss.exe	0x7ffff5f40000	ServicingCommon.dll	-	-	-	-
680	csrss.exe	0x7ffff6540000	bcryptPrimitives.dll	10	0	26100	7623
752	wininit.exe	0x7ff7c6a50000	wininit.exe	10	0	26100	8036
752	wininit.exe	0x7ffff9a60000	ntdll.dll	-	-	-	-
752	wininit.exe	0x7ffff9560000	KERNEL32.DLL	-	-	-	-
752	wininit.exe	0x7ffff65f0000	KERNELBASE.dll	10	0	26100	7920
752	wininit.exe	0x7ffff6ae0000	ucrtbase.dll	10	0	26100	7623
752	wininit.exe	0x7ffff7890000	combase.dll	10	0	26100	7920
752	wininit.exe	0x7ffff8050000	RPCRT4.dll	10	0	26100	8036
752	wininit.exe	0x7ffff94b0000	sechost.dll	10	0	26100	7920
752	wininit.exe	0x7ffff9820000	advapi32.dll	10	0	26100	7920
752	wininit.exe	0x7ffff86d0000	imagehlp.dll	10	0	26100	4202
752	wininit.exe	0x7ffff6260000	profapi.dll	10	0	26100	7309
752	wininit.exe	0x7ffff9770000	msvcrt.dll	10	0	26100	7623
752	wininit.exe	0x7ffff6230000	bcrypt.dll	10	0	26100	7623
752	wininit.exe	0x7ffff6160000	wininitext.dll	10	0	26100	7705
752	wininit.exe	0x7ffff7c20000	USER32.dll	10	0	26100	7920
752	wininit.exe	0x7ffff69f0000	win32u.dll	10	0	26100	8036
752	wininit.exe	0x7ffff90f0000	GDI32.dll	10	0	26100	8036
752	wininit.exe	0x7ffff6c30000	gdi32full.dll	10	0	26100	8036
752	wininit.exe	0x7ffff75d0000	msvcp_win.dll	10	0	26100	7623
752	wininit.exe	0x7ffff5370000	SspiCli.dll	10	0	26100	7920
752	wininit.exe	0x7ffff6540000	bcryptprimitives.dll	10	0	26100	7623
752	wininit.exe	0x7ffff4b00000	DiagnosticDataSettings.dll	10	0	26100	7019
752	wininit.exe	0x7ffff4a90000	coreprivacysettingsstore.dll	-	-	-	-
752	wininit.exe	0x7ffff56f0000	USERENV.dll	10	0	26100	7920
752	wininit.exe	0x7ffff49b0000	profext.dll	10	0	26100	7920
752	wininit.exe	0x7ffff48f0000	firewallapi.dll	10	0	26100	7920
752	wininit.exe	0x7ffff4860000	fwbase.dll	10	0	26100	7920
752	wininit.exe	0x7ffff7810000	WS2_32.dll	10	0	26100	7623
752	wininit.exe	0x7ffff5640000	mswsock.dll	10	0	26100	7920
760	csrss.exe	0x7ff7f9700000	csrss.exe	10	0	26100	1
760	csrss.exe	0x7ffff9a60000	ntdll.dll	-	-	-	-
760	csrss.exe	0x7ffff6320000	CSRSRV.dll	-	-	-	-
760	csrss.exe	0x7ffff6300000	basesrv.DLL	-	-	-	-
760	csrss.exe	0x7ffff62e0000	winsrv.DLL	10	0	26100	7019
760	csrss.exe	0x7ffff9560000	kernel32.dll	-	-	-	-
760	csrss.exe	0x7ffff65f0000	kernelbase.dll	-	-	-	-
760	csrss.exe	0x7ffff62b0000	winsrvext.dll	10	0	26100	7920
760	csrss.exe	0x7ffff69f0000	win32u.dll	10	0	26100	8036
760	csrss.exe	0x7ffff90f0000	GDI32.dll	10	0	26100	8036
760	csrss.exe	0x7ffff6c30000	gdi32full.dll	10	0	26100	8036
760	csrss.exe	0x7ffff6ae0000	ucrtbase.dll	10	0	26100	7623
760	csrss.exe	0x7ffff75d0000	msvcp_win.dll	10	0	26100	7623
760	csrss.exe	0x7ffff7c20000	USER32.dll	10	0	26100	7920
760	csrss.exe	0x7ffff6290000	sxssrv.DLL	10	0	26100	1882
760	csrss.exe	0x7ffff6040000	sxs.dll	10	0	26100	7920
