Volatility 3 Framework 2.28.1

Allocation	Tag	PoolType	NumberOfBytes	Status
0xffff990ef2e32000	Cont	N/A	0x1000	Allocated
0xffff990ef4586000	ClfC	N/A	0x1620	Allocated
0xffff990ef40ff000	MmAc	N/A	0x1000	Allocated
0xffffe08e7fcab000	MmRi	N/A	0x1c60	Allocated
0xffff990ef2df7000	Cont	N/A	0x1000	Allocated
0xffff990eee6d4000	AcpO	N/A	0x10000	Allocated
0xffffe08e7f327000	CM25	N/A	0x1000	Allocated
0xffffe08e80bdd000	MmRe	N/A	0x3140	Allocated
0xffffe08e831b2000	CM16	N/A	0x1000	Allocated
0xffff990ef2d81000	Cont	N/A	0x1000	Allocated
0xffffe08e7f8d5000	CM25	N/A	0x2000	Allocated
0xffffe08e81eaa000	CM16	N/A	0x1000	Allocated
0xffffe08e80ba2000	CM16	N/A	0x1000	Allocated
0xffffe08e819e8000	WtdJ	N/A	0x1330	Allocated
0xffffe08e7f89a000	CM25	N/A	0x1000	Allocated
0xffff990eeefa7000	WfpS	N/A	0x34a0	Allocated
0xffff990ef2d46000	Cont	N/A	0x1000	Allocated
0xffffe08e7f3d8000	CM25	N/A	0x1000	Allocated
0xffffe08e83177000	CM16	N/A	0x1000	Allocated
0xffffe08e81e6f000	CM16	N/A	0x1000	Allocated
0xffff990ef2d6c000	Cont	N/A	0x1000	Allocated
0xffffe08e7ca53000	RvaL	N/A	0x1450	Allocated
0xffff990ef6187000	MmAc	N/A	0x1000	Allocated
0xffffe08e7f9ac000	CM25	N/A	0x1000	Allocated
0xffffe08e7f4ea000	CM25	N/A	0x1000	Allocated
0xffff990ef82d5000	EtwB	N/A	0x10000	Allocated
0xffffe08e7ceda000	MmRe	N/A	0x6bc0	Allocated
0xffff990ef23ad000	IPrq	N/A	0x5410	Allocated
0xffffe08e7dd20000	MmSt	N/A	0x1000	Allocated
0xffffe08e7d85e000	MmSt	N/A	0x36b0	Allocated
0xffffe08e802f5000	Obtb	N/A	0x1000	Allocated
0xffffb080149f3000	HalD	N/A	0x1000	Allocated
0xffffe08e7f4af000	CM25	N/A	0x1000	Allocated
0xffff990eeef92000	HalB	N/A	0x4000	Allocated
0xffff990ef2d31000	Cont	N/A	0x1000	Allocated
0xffffe08e7f59b000	CM25	N/A	0x1000	Allocated
0xffffe08e7f0d9000	CM25	N/A	0x1000	Allocated
0xffffe08e870d9000	MmRe	N/A	0x1d80	Allocated
0xffffe08e7ff1f000	Gpbm	N/A	0x1000	Allocated
0xffffe08e7fa5d000	CM25	N/A	0x1000	Allocated
0xffff990ef825f000	smSt	N/A	0x1000	Allocated
0xffffe08e7cac9000	Obtb	N/A	0x1000	Allocated
0xffffe08e7fee4000	Gpbm	N/A	0x1000	Allocated
0xffff990ef2cf6000	Cont	N/A	0x1000	Allocated
0xffffe08e7fa22000	CM25	N/A	0x1000	Allocated
0xffff990ef2372000	Tcpt	N/A	0x18c0	Allocated
0xffffe08e7f560000	CM25	N/A	0x1000	Allocated
0xffffe08e7f09e000	CM25	N/A	0x1000	Allocated
0xffffe08e81b35000	CIsc	N/A	0x4ad0	Allocated
0xffffe08e7cf50000	NtRB	N/A	0x1000	Allocated
0xffff990ef2cbb000	Cont	N/A	0x1000	Allocated
0xffffe08e7ca8e000	CM29	N/A	0x3000	Allocated
0xffffe08e7f9e7000	CM25	N/A	0x1000	Allocated
0xffffe08e7f525000	CM25	N/A	0x1000	Allocated
0xffffe08e87525000	WtdJ	N/A	0x1310	Allocated
0xffffe08e7d9c0000	MmSt	N/A	0x1000	Allocated
0xffffe08e8175f000	CM16	N/A	0x1000	Allocated
0xffffe08e7fad3000	CM25	N/A	0x1000	Allocated
0xffff990ef2c45000	Cont	N/A	0x1000	Allocated
0xffffe08e7f611000	CM25	N/A	0x1000	Allocated
0xffffe08e7ff95000	Gpbm	N/A	0x1000	Allocated
0xffff990ef2c80000	Cont	N/A	0x1000	Allocated
0xffffe08e7f14f000	CM25	N/A	0x2000	Allocated
0xffffe08e81724000	CM16	N/A	0x1000	Allocated
0xffffe08e7de47000	MmSt	N/A	0x2400	Allocated
0xffffe08e83cf9000	CM26	N/A	0x3000	Allocated
0xffff990ef2c0a000	Cont	N/A	0x1000	Allocated
0xffffe08e7f114000	CM25	N/A	0x1000	Allocated
0xffffe08e7fa98000	CM25	N/A	0x1000	Allocated
0xffffe08e7f5d6000	CM25	N/A	0x1000	Allocated
0xffffe08e7de0c000	MmSt	N/A	0x2a00	Allocated
0xffffe08e816e9000	CM16	N/A	0x1000	Allocated
0xffff990ef8635000	smSt	N/A	0x1340	Allocated
0xffff990ef2bcf000	Cont	N/A	0x1000	Allocated
0xffffe08e7da36000	MmSt	N/A	0x5100	Allocated
0xffffe08e817d5000	CM16	N/A	0x1000	Allocated
0xffffe08e7fb49000	CM25	N/A	0x1000	Allocated
0xffffe08e7f687000	CM25	N/A	0x1000	Allocated
0xffffe08e85077000	MmRe	N/A	0x3120	Allocated
0xffffe08e7f64c000	CM25	N/A	0x1000	Allocated
0xffffe08e7f18a000	CM25	N/A	0x1000	Allocated
0xffffb08014394000	ConT	N/A	0x4000	Allocated
0xffffe08e7fb0e000	CM25	N/A	0x1000	Allocated
