Volatility 3 Framework 2.28.1

Offset	Name
0xc08eaad6cec0	\Windows\System32\dsreg.dll
0xc08eaadf32b0	\Windows\SysWOW64\ntasn1.dll
0xc08eaadfd580	\Program Files (x86)\Microsoft Office\root\Licenses16\ProjectStdR_OEM_Perp-pl.xrm-ms
0xc08eaadfeef0	\Windows\SysWOW64\srpapi.dll
0xc08eaae06b50	\$MapAttributeValue
0xc08eaae09580	\Program Files (x86)\Microsoft Office\root\Office16\Library\Analysis\ANALYS32.XLL
0xc08eaae0eef0	\Windows\System32\kernel32.dll
0xc08eaae16910	\Windows\System32\winevt\Logs\Microsoft-Windows-Crypto-DPAPI%4BackUpKeySvc.evtx
0xc08eaae1b8e0	\Windows\System32\config\systemprofile\AppData\Local\DataSharing\Storage\DSS.log
0xc08eaae22280	\Program Files (x86)\McAfee\VirusScan Enterprise\ftcfg.dll
0xc08eaae276a0	\Program Files (x86)\McAfee\VirusScan Enterprise\vsodscpl.dll
0xc08eaae29930	\Windows\System32\msxml3.dll
0xc08eaae2f1a0	\$MapAttributeValue
0xc08eaae32ef0	\Program Files (x86)\Microsoft Office\root\Office16\1033\LYNC_BASIC.HXS
0xc08eaae33480	\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_svchost.exe_DoSv_72a9d71b8798482d9251a726b32e74b9f19b17_db587682_61a31915\Report.wer.tmp
0xc08eaae3d580	\Program Files (x86)\Microsoft Office\root\Licenses16\PowerPoint2019VL_MAK_AE-ul-oob.xrm-ms
0xc08eaae3fc60	\$MapAttributeValue
0xc08eaae3fdf0	\Windows\SysWOW64\Windows.Networking.Connectivity.dll
0xc08eaae47580	\Program Files (x86)\Microsoft Office\root\Licenses16\StandardVL_KMS_Client-ul-oob.xrm-ms
0xc08eaae4aa30	\$MapAttributeValue
0xc08eaae51b50	\Program Files (x86)\Microsoft Office\root\Licenses16\HomeStudent2019R_Trial-ul-oob.xrm-ms
0xc08eaae51d30	\Program Files (x86)\Microsoft Office\root\Licenses16\OneNoteR_OEM_Perp-ul-oob.xrm-ms
0xc08eaae5cc40	\$PrepareToShrinkFileSize
0xc08eaae5eef0	\Program Files (x86)\Microsoft Office\root\Licenses16\HomeStudent2019DemoR_BypassTrial180-ul-oob.xrm-ms
0xc08eaae72080	\Windows\System32\drivers\vmhgfs.sys
0xc08eaae76230	\Program Files (x86)\Microsoft Office\root\Licenses16\Publisher2019R_Retail-ul-phn.xrm-ms
0xc08eaae81890	\Windows\SysWOW64\tquery.dll
0xc08eaae92580	\ma_named_pipe1744525584
0xc08eaae9d080	\$Directory
0xc08eaae9d210	\ProgramData\McAfee\Agent\AgentEvents\Upload\mc_202109111737037123314000344A0.xml
0xc08eaae9ed60	\Program Files (x86)\Microsoft Office\root\Licenses16\ProjectProR_Retail-ul-oob.xrm-ms
0xc08eaae9eef0	\Program Files (x86)\Microsoft Office\root\Licenses16\PowerPoint2019R_Trial-pl.xrm-ms
0xc08eaaea6350	\Windows\Prefetch\PfPre_da265afc.mkd
0xc08eaaeaf190	\Program Files (x86)\Microsoft Office\root\Licenses16\Personal2019R_OEM_Perp-ul-phn.xrm-ms
0xc08eaaeaf320	\Program Files (x86)\Microsoft Office\root\vfs\SystemX86\msvcr100.dll
0xc08eaaeb2ef0	\Program Files (x86)\Microsoft Office\root\Licenses16\Personal2019R_Retail-ul-phn.xrm-ms
0xc08eaaeb4be0	\Windows\WinSxS\Temp\PendingRenames\3c61daa9c4a9d70103000000dc4a3448._0000000000000000.cdf-ms
0xc08eaaeb4e30	\Program Files (x86)\Google\Update\1.3.36.102\GoogleCrashHandler.exe
0xc08eaaeb6500	\ma_5bd9fa52-9d71-e8fd-20b0-306ab91d3db1_2392.0000000003113FE0_1257180584
0xc08eaaeb7d10	\Windows\System32\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\Content\80237EE4964FC9C409AAF55BF996A292_D46D6FA25B74360E1349F9015B5CCE53
0xc08eaaebaef0	\$MapAttributeValue
