Volatility 3 Framework 2.28.1

Task Name	Principal ID	Display Name	Enabled	Creation Time	Last Run Time	Last Successful Run Time	Trigger Type	Trigger Description	Action Type	Action	Action Arguments	Action Context	Working Directory	Key Name
AD RMS Rights Policy Template Management (Automated)	AllUsers	-	True	-	2018-05-04 18:22:00.000000 UTC	-	Logon	Logon trigger	ComHandler	{cf2cf428-325b-48d3-8ca8-7633e36e5a32}	-	AllUsers	N/A	{4296989E-CB82-465D-9B7A-E709F8492C99}
Metadata Refresh	Users	-	-	2021-01-29 06:15:02.000000 UTC	2018-05-02 18:22:00.000000 UTC	2021-01-29 06:15:02.000000 UTC	-	-	ComHandler	{23c1f3cf-c110-4512-aca9-7b6174ece888}	-	Users	N/A	{43027CE9-4016-4145-93E0-BAECC8E89B94}
Tpm-HASCertRetr	LocalSystem	-	True	-	2018-05-04 18:22:00.000000 UTC	-	WindowsNotificationFacility	WNF state 7508bca3250f9541	ComHandler	{5014b7c8-934e-4262-9816-887fa745a6c4}	HASCertRetr	LocalSystem	N/A	{4517DBBD-42D9-439E-B523-2294724133D2}
SmartScreenSpecific	LocalSystem	-	True	2021-09-15 17:52:13.000000 UTC	2016-11-19 01:57:00.000000 UTC	2021-09-15 17:52:13.000000 UTC	Logon	Logon trigger	ComHandler	{9f2b0085-9218-42a1-88b0-9f0e65851666}	U	LocalSystem	N/A	{4520E8A9-AF06-4122-859B-E4B655B29B36}
PolicyConverter	LocalSystem	-	-	-	2018-05-04 18:22:00.000000 UTC	-	-	-	-	-	-	LocalSystem	-	{483FAC9D-5977-47EF-80D1-80E063A3AAAB}
{3E0A038B-D834-4930-9981-E89C9BFF83AA}	Author	-	True	2021-09-16 02:38:54.000000 UTC	2018-05-07 19:28:04.000000 UTC	2021-09-16 02:39:01.000000 UTC	Time	-	Exe	gpupdate.exe	/target:computer	Author	-	{4A41B4EE-473D-4ED2-A6F6-8FFE9AD5A14E}
{3E0A038B-D834-4930-9981-E89C9BFF83AA}	Author	-	False	2021-09-16 02:38:54.000000 UTC	2018-05-07 19:28:04.000000 UTC	2021-09-16 02:39:01.000000 UTC	WindowsNotificationFacility	WNF state 7508bca33a0d8b41	Exe	gpupdate.exe	/target:computer	Author	-	{4A41B4EE-473D-4ED2-A6F6-8FFE9AD5A14E}
Usb-Notifications	Users	-	True	-	2018-05-04 18:22:00.000000 UTC	-	WindowsNotificationFacility	WNF state 7530bca3381d8441	ComHandler	{e05be1c8-92a8-4757-b575-acaecb4e6a40}	-	Users	N/A	{4A52E557-CBD2-4032-A8DF-42811A3A773D}
LicenseAcquisition	-	-	-	-	-	-	-	-	-	-	-	-	-	{4C2D2022-59FD-48E5-90A0-AD227FAAB208}
RegisterDeviceScreenOnOff	System	-	True	-	2016-11-21 01:57:03.000000 UTC	-	Session	Unknown	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -ScreenOnOff	System	N/A	{51B7FB15-4DCB-400E-9A98-10E802F21FB3}
