L3233: 3860	svchost.exe	0x7fffde480000	0x244000	twinapi.appcore.dll	C:\WINDOWS\SYSTEM32\twinapi.appcore.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3234: 3860	svchost.exe	0x7fffccf20000	0x5d000	execmodelclient.dll	C:\Windows\System32\execmodelclient.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3235: 3860	svchost.exe	0x7fffd91b0000	0xca000	OneCoreCommonProxyStub.dll	C:\Windows\System32\OneCoreCommonProxyStub.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3236: 3860	svchost.exe	0x7fffcc840000	0x14000	execmodelproxy.dll	C:\WINDOWS\system32\execmodelproxy.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3237: 3860	svchost.exe	0x7fffe34c0000	0xaa000	uxtheme.dll	C:\WINDOWS\system32\uxtheme.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3238: 3860	svchost.exe	0x7fffe8d70000	0x15d000	MSCTF.dll	C:\WINDOWS\System32\MSCTF.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3239: 3860	svchost.exe	0x7fffe3320000	0x29000	wtsapi32.dll	C:\WINDOWS\SYSTEM32\wtsapi32.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3240: 3860	svchost.exe	0x7fffe5b70000	0x177000	CRYPT32.dll	C:\WINDOWS\System32\CRYPT32.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3241: 3860	svchost.exe	0x7fffe4a30000	0x49000	SspiCli.dll	C:\WINDOWS\System32\SspiCli.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3242: 3860	svchost.exe	0x7fffd2200000	0xbb000	Windows.Networking.Connectivity.dll	C:\Windows\System32\Windows.Networking.Connectivity.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3243: 3860	svchost.exe	0x7fffcc2b0000	0x9d000	TileDataRepository.dll	C:\Windows\System32\TileDataRepository.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3244: 3860	svchost.exe	0x7fffdbf90000	0xc7000	StateRepository.Core.dll	C:\Windows\System32\StateRepository.Core.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3245: 3860	svchost.exe	0x7fffdc0c0000	0x502000	Windows.StateRepository.dll	C:\Windows\System32\Windows.StateRepository.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3246: 3860	svchost.exe	0x7fffe4db0000	0x32000	USERENV.dll	C:\Windows\System32\USERENV.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3247: 3860	svchost.exe	0x7fffddd40000	0x19000	npmproxy.dll	C:\WINDOWS\System32\npmproxy.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3248: 3860	svchost.exe	0x7fffda0a0000	0xc4000	Windows.StateRepositoryPS.dll	C:\Windows\System32\Windows.StateRepositoryPS.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3249: 3860	svchost.exe	0x7fffda3a0000	0x47000	Windows.StateRepositoryClient.dll	C:\Windows\System32\Windows.StateRepositoryClient.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3250: 3860	svchost.exe	0x7fffcbed0000	0xaa000	appresolver.dll	C:\Windows\System32\appresolver.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3251: 3860	svchost.exe	0x7fffe8ed0000	0x195000	ole32.dll	C:\WINDOWS\System32\ole32.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3252: 3860	svchost.exe	0x7fffe1040000	0x103000	propsys.dll	C:\WINDOWS\system32\propsys.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3253: 3860	svchost.exe	0x7fffdbf20000	0x5e000	Bcp47Langs.dll	C:\Windows\System32\Bcp47Langs.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3254: 3860	svchost.exe	0x7fffcf6b0000	0x16000	threadpoolwinrt.dll	C:\Windows\System32\threadpoolwinrt.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3255: 3860	svchost.exe	0x7fffcb510000	0x158000	wpnapps.dll	C:\Windows\System32\wpnapps.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3256: 3860	svchost.exe	0x7fffce3f0000	0x2d1000	Windows.CloudStore.dll	C:\Windows\System32\Windows.CloudStore.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3257: 3860	svchost.exe	0x7fffca6b0000	0x49000	AppExtension.dll	C:\Windows\System32\AppExtension.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3258: 3860	svchost.exe	0x7fffca5b0000	0xf6000	Windows.CloudStore.Schema.Shell.dll	C:\Windows\System32\Windows.CloudStore.Schema.Shell.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
