L3443: 5432	StartMenuExper	0x7ffff5e80000	0x57000	cfgmgr32.dll	C:\WINDOWS\SYSTEM32\cfgmgr32.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3444: 5432	StartMenuExper	0x7ffff56f0000	0x32000	USERENV.dll	C:\WINDOWS\SYSTEM32\USERENV.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3445: 5432	StartMenuExper	0x7ffff2ca0000	0x263000	d3d11.dll	C:\WINDOWS\SYSTEM32\d3d11.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3446: 5432	StartMenuExper	0x7ffff06f0000	0x5aa000	d3d10warp.dll	C:\WINDOWS\SYSTEM32\d3d10warp.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3447: 5432	StartMenuExper	0x7fffe66b0000	0x47000	windows.staterepositoryclient.dll	C:\WINDOWS\SYSTEM32\windows.staterepositoryclient.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3448: 5432	StartMenuExper	0x7ffff23f0000	0x267000	dwrite.dll	C:\WINDOWS\SYSTEM32\dwrite.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3449: 5432	StartMenuExper	0x7fffec8c0000	0x16a000	appxdeploymentclient.dll	C:\WINDOWS\SYSTEM32\appxdeploymentclient.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3450: 5432	StartMenuExper	0x7ffff86d0000	0x20000	imagehlp.dll	C:\WINDOWS\System32\imagehlp.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3451: 5432	StartMenuExper	0x7fffd7c40000	0x422000	StartDocked.dll	C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartDocked.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3452: 5432	StartMenuExper	0x7fffdc010000	0x54c000	StartTileData.dll	C:\WINDOWS\SYSTEM32\StartTileData.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3453: 5432	StartMenuExper	0x7fffe1950000	0x87000	MDMRegistration.DLL	C:\WINDOWS\SYSTEM32\MDMRegistration.DLL	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3454: 5432	StartMenuExper	0x7fffdcb30000	0x2d000	Windows.UI.Shell.SharedUtilities.dll	C:\Windows\System32\ShellExperiences\Windows.UI.Shell.SharedUtilities.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3455: 5432	StartMenuExper	0x7fffefba0000	0x114000	MrmCoreR.dll	C:\Windows\System32\MrmCoreR.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3456: 5432	StartMenuExper	0x7fffeb350000	0xb3000	TextShaping.dll	C:\WINDOWS\SYSTEM32\TextShaping.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3457: 5432	StartMenuExper	0x7ffff6230000	0x2a000	bcrypt.dll	C:\WINDOWS\SYSTEM32\bcrypt.dll	-1	2026-05-13 19:15:50.000000 UTC	Disabled
L3458: 5432	StartMenuExper	0x7ffff6260000	0x29000	profapi.dll	C:\WINDOWS\SYSTEM32\profapi.dll	-1	2026-05-13 19:15:50.000000 UTC	Disabled
L3459: 5432	StartMenuExper	0x7fffef9f0000	0x43000	languageoverlayutil.dll	C:\WINDOWS\SYSTEM32\languageoverlayutil.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3460: 5432	StartMenuExper	0x7fffef9b0000	0x34000	bcp47mrm.dll	C:\WINDOWS\SYSTEM32\bcp47mrm.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3461: 5432	StartMenuExper	0x7ffff7df0000	0x15d000	msctf.dll	C:\WINDOWS\System32\msctf.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3462: 5432	StartMenuExper	0x7ffff0ef0000	0x2e2000	CoreUIComponents.dll	C:\WINDOWS\system32\CoreUIComponents.dll	-1	2026-05-13 19:15:50.000000 UTC	Disabled
L3463: 5432	StartMenuExper	0x7ffff4400000	0x36000	RMCLIENT.dll	C:\WINDOWS\SYSTEM32\RMCLIENT.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3464: 5432	StartMenuExper	0x7fffeb830000	0x1e3000	InputHost.dll	C:\Windows\System32\InputHost.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3465: 5432	StartMenuExper	0x7ffff5920000	0xc000	CRYPTBASE.DLL	C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL	-1	2026-05-13 19:15:50.000000 UTC	Disabled
