Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
0x990ef2745060	DRV	Ucx01000	N/A	N/A	N/A
* 0x990ef2745060	DEV	Ucx01000	UCX0	N/A	FILE_DEVICE_UNKNOWN
0x990ef2761d70	DRV	Vid	N/A	N/A	N/A
* 0x990ef2761d70	DEV	Vid	-	N/A	FILE_DEVICE_UNKNOWN
0x990ef2763980	DRV	vwififlt	N/A	N/A	N/A
* 0x990ef2763980	DEV	vwififlt	vwififlt	N/A	FILE_DEVICE_NETWORK
0x990ef2764d20	DRV	NetBT	N/A	N/A	N/A
* 0x990ef2764d20	DEV	NetBT	NetBT_Tcpip_{87B7CD4C-D2A9-4887-BA90-0B298138D5D7}	N/A	FILE_DEVICE_NETWORK
0x990ef277c710	DRV	rdbss	N/A	N/A	N/A
* 0x990ef277c710	DEV	rdbss	FsWrap	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0x990ef277de00	DRV	ahcache	N/A	N/A	N/A
* 0x990ef277de00	DEV	ahcache	ahcache	N/A	FILE_DEVICE_UNKNOWN
0x990ef277e9c0	DRV	npsvctrig	N/A	N/A	N/A
0x990ef27bae20	DRV	udfs	N/A	N/A	N/A
* 0x990ef27bae20	DEV	udfs	-	N/A	FILE_DEVICE_CD_ROM_FILE_SYSTEM
** 0x990ef27bae20	ATT	udfs	-	\FileSystem\FltMgr	FILE_DEVICE_CD_ROM_FILE_SYSTEM
0x990ef27bf330	DRV	CimFS	N/A	N/A	N/A
* 0x990ef27bf330	DEV	CimFS	control	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
** 0x990ef27bf330	ATT	CimFS	-	\FileSystem\FltMgr	FILE_DEVICE_DISK_FILE_SYSTEM
0x990ef27c0950	DRV	Psched	N/A	N/A	N/A
* 0x990ef27c0950	DEV	Psched	Psched	N/A	FILE_DEVICE_NETWORK
0x990ef27c1610	DRV	tdx	N/A	N/A	N/A
* 0x990ef27c1610	DEV	tdx	RawIp6	N/A	FILE_DEVICE_NETWORK
0x990ef29acdc0	DRV	intelppm	N/A	N/A	N/A
* 0x990ef29acdc0	DEV	intelppm	-	N/A	FILE_DEVICE_UNKNOWN
0x990ef29b87f0	DRV	USBXHCI	N/A	N/A	N/A
