Volatility 3 Framework 2.28.1

Offset	Name
0x990ef6dfcef0	SM0:2432:304:WilStaging_02
0x990ef6dff230	SM0:4024:304:WilStaging_02
0x990ef6e02290	N/A
0x990ef6e02790	N/A
0x990ef6e02e70	N/A
0x990ef6e030f0	N/A
0x990ef6e03370	N/A
0x990ef6e03870	N/A
0x990ef6e03910	N/A
0x990ef6e03af0	N/A
0x990ef6e03e10	N/A
0x990ef6e03f50	N/A
0x990ef6e04130	N/A
0x990ef6e04270	N/A
0x990ef6e04770	N/A
0x990ef6e04810	N/A
0x990ef6e048b0	N/A
0x990ef6e07290	N/A
0x990ef6e07ab0	N/A
0x990ef6e08550	N/A
0x990ef6e08b90	N/A
0x990ef6e08c30	N/A
0x990ef6e096d0	N/A
0x990ef6e09a90	N/A
0x990ef6e0a490	N/A
0x990ef6e0a530	N/A
0x990ef6e11f10	N/A
0x990ef6e12690	N/A
0x990ef6e127d0	N/A
0x990ef6e12870	N/A
0x990ef6e13590	N/A
0x990ef6e152f0	N/A
0x990ef6e16790	N/A
0x990ef6e17230	N/A
0x990ef6e1a390	N/A
0x990ef6e1f4d0	N/A
0x990ef6e1f7f0	N/A
0x990ef6e77930	UGTHRSVC_Perf_Library_Lock_PID_c48
0x990ef6e77cf0	.NET Data Provider for Oracle_Perf_Library_Lock_PID_c48
0x990ef6e77e70	TermService_Perf_Library_Lock_PID_c48
0x990ef6e78230	PerfOS_Perf_Library_Lock_PID_c48
0x990ef6e782f0	.NET CLR Networking_Perf_Library_Lock_PID_c48
0x990ef6e78a70	PerfDisk_Perf_Library_Lock_PID_c48
0x990ef6e78cb0	.NET CLR Networking 4.0.0.0_Perf_Library_Lock_PID_c48
0x990ef6e79130	SMSvcHost 4.0.0.0_Perf_Library_Lock_PID_c48
0x990ef6e79430	.NET CLR Data_Perf_Library_Lock_PID_c48
0x990ef6e794f0	MSDTC Bridge 4.0.0.0_Perf_Library_Lock_PID_c48
0x990ef6e79970	PerfNet_Perf_Library_Lock_PID_c48
0x990ef6e79a30	PerfProc_Perf_Library_Lock_PID_c48
