L3870: 5684	RuntimeBroker.	0x7fffd9180000	0x54000	Windows.UI.Accessibility.dll	C:\Windows\System32\Windows.UI.Accessibility.dll	6	2026-05-13 19:15:52.000000 UTC	Disabled
L3871: 5684	RuntimeBroker.	0x7ffff6230000	0x2a000	bcrypt.dll	C:\Windows\System32\bcrypt.dll	-1	2026-05-13 19:15:52.000000 UTC	Disabled
L3872: 5684	RuntimeBroker.	0x7fffd6c10000	0x39000	rometadata.dll	C:\WINDOWS\SYSTEM32\rometadata.dll	-1	2026-05-13 19:15:52.000000 UTC	Disabled
L3873: 5684	RuntimeBroker.	0x7fffe3ee0000	0xca000	OneCoreCommonProxyStub.dll	C:\Windows\System32\OneCoreCommonProxyStub.dll	6	2026-05-13 19:15:52.000000 UTC	Disabled
L3874: 5684	RuntimeBroker.	0x7fffe55a0000	0xd6000	Windows.ApplicationModel.dll	C:\Windows\System32\Windows.ApplicationModel.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3875: 5684	RuntimeBroker.	0x7fffed300000	0x60000	usermgrproxy.dll	C:\Windows\System32\usermgrproxy.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3876: 5684	RuntimeBroker.	0x7fffe86a0000	0x117000	SystemSettings.DataModel.dll	C:\Windows\System32\SystemSettings.DataModel.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3877: 5684	RuntimeBroker.	0x7fffec8c0000	0x16a000	AppXDeploymentClient.dll	C:\Windows\System32\AppXDeploymentClient.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3878: 5684	RuntimeBroker.	0x7ffff86d0000	0x20000	imagehlp.dll	C:\WINDOWS\System32\imagehlp.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3879: 5684	RuntimeBroker.	0x7ffff4a40000	0x2d000	slc.dll	C:\WINDOWS\SYSTEM32\slc.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3880: 5684	RuntimeBroker.	0x7ffff6d60000	0x864000	windows.storage.dll	C:\WINDOWS\System32\windows.storage.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3881: 5684	RuntimeBroker.	0x7ffff9820000	0xbb000	advapi32.dll	C:\WINDOWS\System32\advapi32.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3882: 5684	RuntimeBroker.	0x7ffff8e80000	0x67000	shlwapi.dll	C:\WINDOWS\System32\shlwapi.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3883: 5684	RuntimeBroker.	0x7ffff56f0000	0x32000	USERENV.dll	C:\WINDOWS\System32\USERENV.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3884: 5684	RuntimeBroker.	0x7ffff6260000	0x29000	profapi.dll	C:\WINDOWS\System32\profapi.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3885: 5684	RuntimeBroker.	0x7ffff3d40000	0xaa000	uxtheme.dll	C:\WINDOWS\system32\uxtheme.dll	6	2026-05-13 19:15:54.000000 UTC	Disabled
L3886: 5684	RuntimeBroker.	0x7fffea0a0000	0x17000	usermgrcli.dll	C:\WINDOWS\SYSTEM32\usermgrcli.dll	6	2026-05-13 19:15:54.000000 UTC	Disabled
L3887: 5684	RuntimeBroker.	0x7fffd6600000	0x3a000	Windows.Internal.System.UserProfile.dll	C:\Windows\System32\Windows.Internal.System.UserProfile.dll	6	2026-05-13 19:15:54.000000 UTC	Disabled
L3888: 5684	RuntimeBroker.	0x7fffdcde0000	0x14c000	CloudExperienceHostCommon.dll	C:\Windows\System32\CloudExperienceHostCommon.dll	6	2026-05-13 19:15:54.000000 UTC	Disabled
L3889: 5684	RuntimeBroker.	0x7fffe03b0000	0x138000	Windows.Security.Authentication.Web.Core.dll	C:\Windows\System32\Windows.Security.Authentication.Web.Core.dll	6	2026-05-13 19:15:54.000000 UTC	Disabled
L3890: 5684	RuntimeBroker.	0x7fffed8c0000	0x2c4000	iertutil.dll	C:\Windows\System32\iertutil.dll	6	2026-05-13 19:15:54.000000 UTC	Disabled
L3891: 5684	RuntimeBroker.	0x7fffed890000	0x29000	srvcli.dll	C:\Windows\System32\srvcli.dll	6	2026-05-13 19:15:55.000000 UTC	Disabled
L3892: 5684	RuntimeBroker.	0x7ffff49f0000	0xd000	netutils.dll	C:\Windows\System32\netutils.dll	6	2026-05-13 19:15:55.000000 UTC	Disabled
L3893: 5684	RuntimeBroker.	0x7ffff9120000	0x195000	ole32.dll	C:\WINDOWS\System32\ole32.dll	6	2026-05-13 19:15:55.000000 UTC	Disabled
L3894: 5684	RuntimeBroker.	0x7fffedd70000	0x244000	twinapi.appcore.dll	C:\Windows\System32\twinapi.appcore.dll	6	2026-05-13 19:15:55.000000 UTC	Disabled
L3895: 5684	RuntimeBroker.	0x7ffff5e80000	0x57000	CFGMGR32.dll	C:\WINDOWS\System32\CFGMGR32.dll	6	2026-05-13 19:15:55.000000 UTC	Disabled
L3896: 5684	RuntimeBroker.	0x7fffe7590000	0xc0000	StructuredQuery.dll	C:\WINDOWS\System32\StructuredQuery.dll	6	2026-05-13 19:15:55.000000 UTC	Disabled
L3897: 5684	RuntimeBroker.	0x7fffe72e0000	0x29e000	icu.dll	C:\WINDOWS\System32\icu.dll	6	2026-05-13 19:15:55.000000 UTC	Disabled
L3898: 5684	RuntimeBroker.	0x7ffff1bd0000	0x103000	PROPSYS.dll	C:\WINDOWS\System32\PROPSYS.dll	6	2026-05-13 19:15:57.000000 UTC	Disabled
L3899: 5684	RuntimeBroker.	0x7fffe6aa0000	0x29000	edputil.dll	C:\WINDOWS\System32\edputil.dll	6	2026-05-13 19:15:58.000000 UTC	Disabled
L3900: 5684	RuntimeBroker.	0x7fffe9de0000	0x9c000	Windows.Web.dll	C:\Windows\System32\Windows.Web.dll	6	2026-05-13 19:15:59.000000 UTC	Disabled
L3901: 5684	RuntimeBroker.	0x7fffba940000	0x216000	SystemSettingsViewModel.Desktop.dll	C:\Windows\ImmersiveControlPanel\SystemSettingsViewModel.Desktop.dll	6	2026-05-13 19:15:59.000000 UTC	Disabled
L3902: 5684	RuntimeBroker.	0x7ffff4170000	0x43000	dxcore.dll	C:\WINDOWS\SYSTEM32\dxcore.dll	6	2026-05-13 19:15:59.000000 UTC	Disabled
L3903: 5684	RuntimeBroker.	0x7ffff5370000	0x49000	SspiCli.dll	C:\WINDOWS\SYSTEM32\SspiCli.dll	6	2026-05-13 19:15:59.000000 UTC	Disabled
L3904: 5684	RuntimeBroker.	0x7fffeff40000	0x5e000	wincorlib.DLL	C:\WINDOWS\SYSTEM32\wincorlib.DLL	6	2026-05-13 19:15:59.000000 UTC	Disabled
