Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
0xc08eac388e60	DRV	SysmonDrv	N/A	N/A	N/A
* 0xc08eac388e60	DEV	SysmonDrv	SysmonDrv	N/A	UNKNOWN
0xc08eac39a060	DRV	iorate	N/A	N/A	N/A
* 0xc08eac39a060	DEV	iorate	-	N/A	FILE_DEVICE_DISK
** 0xc08eac39a060	ATT	iorate	-	\Driver\volume	FILE_DEVICE_DISK
*** 0xc08eac39a060	ATT	iorate	-	\Driver\volsnap	FILE_DEVICE_DISK
0xc08eac39ad80	DRV	Disk	N/A	N/A	N/A
* 0xc08eac39ad80	DEV	Disk	DR0	N/A	FILE_DEVICE_DISK
** 0xc08eac39ad80	ATT	Disk	-	\Driver\partmgr	FILE_DEVICE_DISK
*** 0xc08eac39ad80	ATT	Disk	-	\Driver\mfedisk	FILE_DEVICE_DISK
0xc08eac64bca0	DRV	CmBatt	N/A	N/A	N/A
* 0xc08eac64bca0	DEV	CmBatt	-	N/A	FILE_DEVICE_BATTERY
0xc08eac7dc3f0	DRV	BasicDisplay	N/A	N/A	N/A
* 0xc08eac7dc3f0	DEV	BasicDisplay	Video2	N/A	FILE_DEVICE_VIDEO
0xc08eac7ef0b0	DRV	NetBT	N/A	N/A	N/A
* 0xc08eac7ef0b0	DEV	NetBT	NetBT_Tcpip_{9391FD46-6C49-4BC0-B651-5D9B477CC1DE}	N/A	FILE_DEVICE_NETWORK
0xc08eac808060	DRV	nsiproxy	N/A	N/A	N/A
* 0xc08eac808060	DEV	nsiproxy	Nsi	N/A	FILE_DEVICE_NETWORK
0xc08eac80d4e0	DRV	vmrawdsk	N/A	N/A	N/A
0xc08eac80de60	DRV	Psched	N/A	N/A	N/A
* 0xc08eac80de60	DEV	Psched	Psched	N/A	FILE_DEVICE_NETWORK
0xc08eac8130b0	DRV	vnetWFP	N/A	N/A	N/A
* 0xc08eac8130b0	DEV	vnetWFP	vNetFilter	N/A	FILE_DEVICE_NETWORK
0xc08eac816580	DRV	Msfs	N/A	N/A	N/A
* 0xc08eac816580	DEV	Msfs	Mailslot	N/A	FILE_DEVICE_MAILSLOT
** 0xc08eac816580	ATT	Msfs	-	\FileSystem\FltMgr	FILE_DEVICE_MAILSLOT
0xc08eac829b60	DRV	Npfs	N/A	N/A	N/A
* 0xc08eac829b60	DEV	Npfs	NamedPipe	N/A	FILE_DEVICE_NAMED_PIPE
** 0xc08eac829b60	ATT	Npfs	-	\FileSystem\FltMgr	FILE_DEVICE_NAMED_PIPE
0xc08eac836dc0	DRV	tdx	N/A	N/A	N/A
* 0xc08eac836dc0	DEV	tdx	RawIp6	N/A	FILE_DEVICE_NETWORK
0xc08eac84a390	DRV	BasicRender	N/A	N/A	N/A
* 0xc08eac84a390	DEV	BasicRender	-	N/A	FILE_DEVICE_VIDEO
0xc08eac856cf0	DRV	npsvctrig	N/A	N/A	N/A
0xc08eac85b060	DRV	AFD	N/A	N/A	N/A
* 0xc08eac85b060	DEV	AFD	NameResTrk	N/A	FILE_DEVICE_NETWORK
0xc08eac865060	DRV	DXGKrnl	N/A	N/A	N/A
* 0xc08eac865060	DEV	DXGKrnl	DxgKrnl	N/A	FILE_DEVICE_UNKNOWN
0xc08eac867ac0	DRV	rdbss	N/A	N/A	N/A
* 0xc08eac867ac0	DEV	rdbss	FsWrap	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0xc08eac868bb0	DRV	Dfsc	N/A	N/A	N/A
* 0xc08eac868bb0	DEV	Dfsc	DfsClient	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0xc08eac86d230	DRV	bam	N/A	N/A	N/A
* 0xc08eac86d230	DEV	bam	Bam	N/A	FILE_DEVICE_UNKNOWN
0xc08eac86f690	DRV	mssmbios	N/A	N/A	N/A
* 0xc08eac86f690	DEV	mssmbios	-	N/A	FILE_DEVICE_UNKNOWN
0xc08eac87d750	DRV	GpuEnergyDrv	N/A	N/A	N/A
