Volatility 3 Framework 2.28.1

Cache	FileObject	FileName	Result
ImageSectionObject	0xc08eb0a74ef0	ngcpopkeysrv.dll	file.0xc08eb0a74ef0.0xc08eae647010.ImageSectionObject.ngcpopkeysrv.dll.img
ImageSectionObject	0xc08eaab02080	PCPKsp.dll	Error dumping file
ImageSectionObject	0xc08eaf23cef0	mskeyprotect.dll	file.0xc08eaf23cef0.0xc08eb06d1b90.ImageSectionObject.mskeyprotect.dll.img
ImageSectionObject	0xc08eb0373ef0	SecureTimeAggregator.dll	file.0xc08eb0373ef0.0xc08eb03527d0.ImageSectionObject.SecureTimeAggregator.dll.img
ImageSectionObject	0xc08eb05f0990	dssenh.dll	file.0xc08eb05f0990.0xc08eb0689790.ImageSectionObject.dssenh.dll.img
ImageSectionObject	0xc08eafadcd60	winbrand.dll	file.0xc08eafadcd60.0xc08eafaaedb0.ImageSectionObject.winbrand.dll.img
ImageSectionObject	0xc08eb08e0a10	ncryptsslp.dll	file.0xc08eb08e0a10.0xc08eb067f930.ImageSectionObject.ncryptsslp.dll.img
ImageSectionObject	0xc08eb08488a0	tbs.dll	file.0xc08eb08488a0.0xc08eb087a010.ImageSectionObject.tbs.dll.img
ImageSectionObject	0xc08eae8b9670	ntdsapi.dll	file.0xc08eae8b9670.0xc08eae8c2010.ImageSectionObject.ntdsapi.dll.img
ImageSectionObject	0xc08ead63fc50	CertPolEng.dll	file.0xc08ead63fc50.0xc08eb06967a0.ImageSectionObject.CertPolEng.dll.img
DataSectionObject	0xc08eaf86cef0	cryptnet.dll	file.0xc08eaf86cef0.0xc08eb2cbea30.DataSectionObject.cryptnet.dll.dat
ImageSectionObject	0xc08eaf86cef0	cryptnet.dll	file.0xc08eaf86cef0.0xc08eaf8b3550.ImageSectionObject.cryptnet.dll.img
DataSectionObject	0xc08eae8b4db0	secur32.dll	file.0xc08eae8b4db0.0xc08eaad67460.DataSectionObject.secur32.dll.dat
ImageSectionObject	0xc08eae8b4db0	secur32.dll	file.0xc08eae8b4db0.0xc08eae8a9750.ImageSectionObject.secur32.dll.img
ImageSectionObject	0xc08eaf60c710	dsparse.dll	file.0xc08eaf60c710.0xc08eae8003d0.ImageSectionObject.dsparse.dll.img
ImageSectionObject	0xc08eaf323a20	logoncli.dll	file.0xc08eaf323a20.0xc08eaf326ce0.ImageSectionObject.logoncli.dll.img
ImageSectionObject	0xc08eaf3acb50	FWPUCLNT.DLL	file.0xc08eaf3acb50.0xc08eaf3b02d0.ImageSectionObject.FWPUCLNT.DLL.img
ImageSectionObject	0xc08eaf3f3780	wevtapi.dll	file.0xc08eaf3f3780.0xc08eaf511440.ImageSectionObject.wevtapi.dll.img
ImageSectionObject	0xc08eaf39f870	wkscli.dll	file.0xc08eaf39f870.0xc08eaf385910.ImageSectionObject.wkscli.dll.img
DataSectionObject	0xc08eae991ef0	gpapi.dll	Error dumping file
ImageSectionObject	0xc08eae991ef0	gpapi.dll	file.0xc08eae991ef0.0xc08eae968140.ImageSectionObject.gpapi.dll.img
ImageSectionObject	0xc08eaf2ffb50	dsrole.dll	file.0xc08eaf2ffb50.0xc08eaf3000d0.ImageSectionObject.dsrole.dll.img
ImageSectionObject	0xc08eae5c6880	scecli.dll	file.0xc08eae5c6880.0xc08eae5c9c40.ImageSectionObject.scecli.dll.img
ImageSectionObject	0xc08eadb6d2a0	negoexts.dll	file.0xc08eadb6d2a0.0xc08eadb66750.ImageSectionObject.negoexts.dll.img
DataSectionObject	0xc08eadb83ef0	dnsapi.dll	Error dumping file
